"X1.3","X2.3","X3.3","X4.3","X5.3","X6.3","X7.3","X8.3","X9.3","X10.3"
0.00689417442261289,0.125473974491555,0.413650465356774,0,0.250258531540848,0,0.203722854188211,0,0,0
0,0.0790801060100881,0,0,0.077968709925622,0.84295118406429,0,0,0,0
0,0.0330998752758323,0,0,0.0314688669289072,0.93543125779526,0,0,0,0
0,0,0,0,0,0.958920187793427,0.0410798122065728,0,0,0
0,0.219298245614035,0,0.0241228070175439,0.756578947368421,0,0,0,0,0
0,0.30718954248366,0,0,0.618736383442266,0,0.0740740740740741,0,0,0
0.0944386149003148,0,0,0,0.891920251836306,0,0.0136411332633788,0,0,0
0,0.546666666666667,0.146666666666667,0,0.306666666666667,0,0,0,0,0
0.00955690703735882,0,0,0,0,0,0.990443092962641,0,0,0
0,0,0,1,0,0,0,0,0,0
0.0665231852866367,0.0485880127828866,0.513793778125611,0,0.281745255331638,0,0.0893497684732277,0,0,0
0,0.0297683122532914,0,0.00066764620363306,0.0149847868587875,0.954579254684288,0,0,0,0
0,0.203594304651376,0,0.0440118936903187,0.752393801658305,0,0,0,0,0
0.00968245705361791,0.237376366475794,0,0.0895366996356065,0.663404476834982,0,0,0,0,0
0,0.0580380071905496,0,0,0.268104776579353,0,0.673857216230098,0,0,0
0.097213476070529,0,0,0.0913885390428212,0.335327455919395,0,0.476070528967254,0,0,0
0,1,0,0,0,0,0,0,0,0
0.088074209305768,0.709256426703508,0,0,0.175729017614842,0,0.026940346375882,0,0,0
0,0.261747935509241,0.122886354699174,0.0599070979158474,0.555458611875737,0,0,0,0,0
0.00306044376434583,0,0.549043611323642,0,0.362203519510329,0,0.0856924254016832,0,0,0
0,0.00599224532957349,0,0,0.0133944307366937,0.980613323933733,0,0,0,0
0.0169510679172788,0.295965645835688,0.110746977059555,0,0.576336309187479,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0.269530427458412,0,0,0.646241313960834,0,0,0,0,0.0842282585807538
0,0,0,0,0.0710382513661202,0,0.92896174863388,0,0,0
0.115336658354115,0,0,0,0.884663341645885,0,0,0,0,0
0.0101317122593718,0.110435663627153,0,0.038500506585613,0.840932117527862,0,0,0,0,0
0,0,0,0,0.971709717097171,0.028290282902829,0,0,0,0
0,0,0,0,0.250610004066694,0.749389995933306,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0.00374601985390523,0.0168570893425735,0.385840044952238,0,0.199100955235063,0,0.39445589061622,0,0,0
0.0238884045335658,0,0,0.02615518744551,0,0.836965998256321,0.112990409764603,0,0,0
0,0.314720812182741,0,0.253807106598985,0.431472081218274,0,0,0,0,0
0,0.134505949301604,0.405587170201759,0,0.389549922400414,0,0,0.0703569580962235,0,0
0,0.323943661971831,0,0,0.619718309859155,0,0,0,0,0.0563380281690141
0,0.281565780437555,0,0.0490532718532326,0.569508486216031,0,0.0753458255665653,0,0,0.0245266359266163
0.109617373319545,0.046535677352637,0.501034126163392,0.077559462254395,0.254912099276112,0,0,0,0,0.0103412616339193
0,0,0.7400074019245,0,0.2599925980755,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0.713592233009709,0.0129449838187702,0.273462783171521,0,0,0,0,0
0.0118237251490634,0.059118625745317,0,0,0.152019323345101,0,0.777038325760519,0,0,0
0.0631472594089417,0.0252589037635767,0,0.015155342258146,0.373410793971542,0,0.523027700597794,0,0,0
0,0.301510574018127,0.495468277945619,0,0.203021148036254,0,0,0,0,0
0,0,0.0852713178294574,0.387596899224806,0.527131782945736,0,0,0,0,0
0,0,0.419449326303456,0,0.51493848857645,0.00468658465143527,0.0609256004686585,0,0,0
0,0,0.48661311914324,0,0.267737617135207,0,0.245649263721553,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0.734359961501444,0,0.265640038498556,0,0,0,0,0
0,0,0.285365853658537,0,0.714634146341463,0,0,0,0,0
0,0.276288659793814,0.298969072164948,0,0.424742268041237,0,0,0,0,0
0,0,0.0290178571428571,0,0.731026785714286,0.239955357142857,0,0,0,0
0,0.235649546827795,0,0,0.468277945619335,0.00906344410876133,0.287009063444109,0,0,0
0,0.117378048780488,0,0,0.705030487804878,0,0.0118140243902439,0.16577743902439,0,0
0,0.210225727495241,0,0,0.789774272504759,0,0,0,0,0
0,0.227272727272727,0,0,0.0811965811965812,0.0893550893550894,0.602175602175602,0,0,0
0,0,0,0,0.980916030534351,0,0,0,0,0.0190839694656489
0,0,0,0.0107110978875335,0,0.989288902112467,0,0,0,0
0,0.304761904761905,0,0,0.695238095238095,0,0,0,0,0
0,0.22636892015907,0,0.00122361578464362,0.772407464056286,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
