Species	c14.0	c16.0	c16.1w7	c16.2w6	c16.2w4	c16.3w6	c17.0	c16.3w4	c16.3w1	c16.4w1	c18.0	c18.1w9	c18.1w7	c18.2w6	c18.2w4	c18.3w6	c18.3w4	c18.3w3	c18.3w1	c18.4w3	c18.4w1	c20.1w11	c20.1w9	c20.1w7	c20.2w6	c20.3w6	c20.4w6	c20.3w3	c20.4w3	c20.5w3	c22.1w11	c22.1w9	c22.1w7	c22.2w6	c21.5w3	c22.4w6	c22.5w6	c22.4w3	c22.5w3	c22.6w3
Butterfish	0.05872394	0.1847424	0.03862025	4.23E-04	0.01058089	0.002327796	0.004126547	0.001375516	0	0.001798751	0.03988996	0.2219871	0.01565972	0.009522802	8.46E-04	4.23E-04	7.41E-04	0.01100413	0.002645223	0.01513067	9.52E-04	0.004443974	0.06443763	0.008676331	0.004655592	3.17E-04	0.01100413	0.002751032	0.01110994	0.04920114	0.06898741	0.02856841	0.001587134	0	0.002221987	0.00391493	0.00391493	9.52E-04	0.02772193	0.08401227
Butterfish	0.06954103	0.170215	0.06344282	5.35E-04	0.01337327	0.004814379	0.00449342	0.001069862	0	0.001497807	0.03145394	0.1367284	0.02096929	0.01187547	0.001176848	4.28E-04	8.56E-04	0.01144752	0.002888627	0.0147641	0.001176848	0.005028351	0.08344924	0.005884241	0.003744517	4.28E-04	0.01326629	0.002032738	0.01112656	0.05713063	0.08751471	0.01647587	0.001176848	3.21E-04	0.002674655	0.003530545	0.00449342	9.63E-04	0.02685354	0.1111587
Butterfish	0.05721551	0.1820301	0.05393092	4.24E-04	0.01176097	0.003602458	0.004450095	7.42E-04	0	0.001059547	0.03793177	0.2162534	0.02076711	0.008794236	0.001059547	3.18E-04	7.42E-04	0.008688281	0.002754821	0.0102776	8.48E-04	0.004662005	0.06283111	0.007840644	0.003284594	3.18E-04	0.01207883	0.00158932	0.008476372	0.0570036	0.05605001	0.02034329	0.00137741	3.18E-04	0.002119093	0.003072685	0.004026277	6.36E-04	0.02627675	0.1040475
Butterfish	0.05612406	0.1816647	0.03639624	3.16E-04	0.01360903	0.002215424	0.004852833	5.27E-04	0	8.44E-04	0.04103808	0.2330415	0.02004431	0.007068256	0.001054964	2.11E-04	5.27E-04	0.007490242	0.003164891	0.008228716	6.33E-04	0.002531913	0.05622956	0.01065513	0.004008862	2.11E-04	0.01297605	0.001793438	0.007701234	0.05749552	0.04430847	0.03091043	0.001793438	5.27E-04	0.002004431	0.003903365	0.003797869	6.33E-04	0.03006646	0.1093997
Butterfish	0.05621896	0.1813378	0.03983937	4.23E-04	0.01183557	0.002324844	0.004649688	8.45E-04	0	0.001373772	0.0405791	0.2282574	0.01764768	0.008876678	0.001056747	4.23E-04	6.34E-04	0.008242629	0.002747543	0.01268097	8.45E-04	0.004226989	0.05336574	0.009616401	0.00380429	3.17E-04	0.01109585	0.00179647	0.009299377	0.05579626	0.06329917	0.02768678	0.001902145	6.34E-04	0.002324844	0.003381591	0.003064567	7.40E-04	0.02980027	0.09700941
Butterfish	0.04348751	0.1977671	0.03476874	3.19E-04	0.01265284	0.001275917	0.006592238	4.25E-04	0	6.38E-04	0.04859117	0.2532695	0.02158426	0.008293461	7.44E-04	3.19E-04	6.38E-04	0.008399787	0.00297714	0.0112706	3.19E-04	0.003402446	0.05337586	0.006698565	0.004040404	4.25E-04	0.01711855	0.002126528	0.008718767	0.05209995	0.04242424	0.01818182	0.001063264	5.32E-04	0.001807549	0.005103668	0.003827751	8.51E-04	0.03040936	0.09346093
Butterfish	0.06909322	0.1698233	0.0450746	4.23E-04	0.01206222	0.003491694	0.003809121	0.001058089	0	0.001587134	0.03692731	0.1883399	0.01798751	0.008993757	0.001058089	3.17E-04	6.35E-04	0.008358904	0.002751032	0.01174479	8.46E-04	0.003174267	0.07649984	0.00973442	0.003703312	2.12E-04	0.01015766	0.001587134	0.008464713	0.05427997	0.08485875	0.02909745	0.00190456	5.29E-04	0.002327796	0.002433605	0.003385885	7.41E-04	0.02571156	0.09681515
Butterfish	0.05786096	0.1824599	0.0315508	5.35E-04	0.01882353	8.56E-04	0.006417112	1.07E-04	0	6.42E-04	0.0486631	0.2148663	0.01828877	0.009625668	4.28E-04	2.14E-04	6.42E-04	0.007379679	0.003743316	0.01122995	2.14E-04	0.003636364	0.0571123	0.008770053	0.004919786	3.21E-04	0.01593583	0.001925134	0.009090909	0.04748663	0.03679144	0.02566845	0.001283422	3.21E-04	0.001604278	0.004171123	0.004812834	6.42E-04	0.02770053	0.133262
Butterfish	0.05974876	0.1837855	0.04750343	4.22E-04	0.009817376	0.003166895	0.003589148	0.001055632	0	0.001477885	0.03494141	0.2292832	0.01826243	0.008445054	0.001055632	4.22E-04	7.39E-04	0.008550618	0.002533516	0.01361765	9.50E-04	0.004539217	0.06523804	0.008128365	0.003694711	3.17E-04	0.01140082	0.001794574	0.0100285	0.05330941	0.06988282	0.02259052	0.001583448	5.28E-04	0.00232239	0.003378022	0.003589148	7.39E-04	0.02702417	0.08054471
Butterfish	0.06140351	0.1854788	0.04016064	3.17E-04	0.01236525	0.00232509	0.004544494	6.34E-04	0	6.34E-04	0.03942084	0.2299725	0.0179666	0.009511731	9.51E-04	2.11E-04	5.28E-04	0.009617417	0.002959205	0.009723103	5.28E-04	0.004227436	0.05654196	0.009828789	0.004333122	2.11E-04	0.009194673	0.002219404	0.009617417	0.05083492	0.06119214	0.03107166	0.001690974	7.40E-04	0.002113718	0.002747833	0.003064891	6.34E-04	0.02737265	0.09310928
